Date,Asset 0,Asset 1
2020-01-01,100.59027365922857,99.97175198148328
2020-01-02,100.45812504743445,100.49897896615671
2020-01-03,101.22423928374722,100.57839884362885
2020-01-06,103.01359364962883,100.92367247618898
2020-01-07,102.76646476890627,100.8920459385664
2020-01-08,102.51994783373416,100.88218412833739
2020-01-09,104.39869312876719,101.08203436622154
2020-01-10,105.3377889243472,101.30026559272558
2020-01-13,104.80506065102621,101.27912469608475
2020-01-14,105.47851539236875,100.68432391897684
2020-01-15,104.95228292060202,100.64962053807484
2020-01-16,104.42593812532108,100.8312787926704
2020-01-17,104.73934790042436,100.84493279488362
2020-01-20,102.51749621218225,100.96861518610858
2020-01-21,100.55732104683757,101.04515499013883
2020-01-22,99.94353303923732,100.6881187200154
2020-01-23,98.82732210799169,100.92003660282131
2020-01-24,99.20520776117053,100.78031093552462
2020-01-27,98.21389083350074,100.6606917272006
2020-01-28,96.67809154739378,100.81837453261284
2020-01-29,98.323089266106,100.64035464679037
2020-01-30,98.09653033391075,100.71442826002549
2020-01-31,98.1965291226341,100.50513868772042
2020-02-03,96.64736272617453,100.46531333762441
2020-02-04,96.07694426052412,100.37845780003953
2020-02-05,96.22221841872626,100.26931876909129
2020-02-06,94.99862576585348,100.07087078449175
2020-02-07,95.42834155101974,100.06711724067299
2020-02-10,94.80462430007815,100.10534094540668
2020-02-11,94.51550224614371,100.34682276109564
2020-02-12,93.89661427959098,100.20947187927405
2020-02-13,95.91384723858188,100.2304168284265
2020-02-14,95.92345161707513,100.79712103901797
2020-02-17,94.80388167776717,100.9043746682695
2020-02-18,95.71646307548339,101.03487930504389
2020-02-19,94.42448555717446,101.15296604886133
2020-02-20,94.67234078645627,100.7271791525294
2020-02-21,92.61531248734907,100.67296222750086
2020-02-24,91.25405684211876,100.1392692046814
2020-02-25,91.4811391219844,100.3644869150012
2020-02-26,92.27372392482175,100.80308226050583
2020-02-27,92.47660818403433,100.67653071729762
2020-02-28,92.37880547688792,101.13259203603144
2020-03-02,92.08725523048315,100.85485990899616
2020-03-03,90.57922345398009,100.56006909659799
2020-03-04,89.86564966731365,100.70789475358346
2020-03-05,89.42012739100296,100.5087016309442
2020-03-06,90.5213386769951,100.39064897177738
2020-03-09,90.89773189063197,100.67346774602402
2020-03-10,89.12119878806509,100.43417386090358
2020-03-11,89.47195004901253,100.37044601068106
2020-03-12,89.10468556928231,100.34845109152634
2020-03-13,88.44576342045673,100.45186725528814
2020-03-16,89.0838849384513,100.64503560893785
2020-03-17,90.15424741994902,100.62643973478083
2020-03-18,91.13436556399535,100.33060450831546
2020-03-19,90.29411661110342,100.5939401751991
2020-03-20,90.00087030279248,101.33313307599465
2020-03-23,90.36243953301607,101.55054152046081
2020-03-24,91.39068017088731,101.70184243422449
2020-03-25,90.91848676152757,101.61336587279041
2020-03-26,90.75026152008442,101.55657452785098
2020-03-27,89.64163335541564,101.20930724273119
2020-03-30,88.45636118604503,101.37458746454429
2020-03-31,89.29769609051019,101.34762939097293
2020-04-01,90.70451895015339,101.68480564799991
2020-04-02,90.65343554575371,101.42717958031216
2020-04-03,91.71408843282273,101.78422004945833
2020-04-06,92.11425836954352,101.71250507598417
2020-04-07,91.46605770718966,101.56373942364685
2020-04-08,91.86489499471061,101.4479089414688
2020-04-09,93.50471240185938,101.30007485146434
2020-04-10,93.4904021803236,100.77610060013936
2020-04-13,95.18794889961639,100.94626653786096
2020-04-14,92.42536036998172,101.1511177365978
2020-04-15,93.31436641608838,101.48525290827828
2020-04-16,93.43016627339041,101.6735118540427
2020-04-17,93.13751178326015,101.84946740958316
2020-04-20,93.25807653456407,101.42733962744205
2020-04-21,91.20292125626082,101.48187999838667
2020-04-22,90.99906733600831,101.20022645369704
2020-04-23,91.39142977807181,101.1367898136187
2020-04-24,92.95938021661081,101.50106560092924
2020-04-27,92.43809420038454,101.51704067357011
2020-04-28,91.61773691955828,100.85834999630463
2020-04-29,91.12103447263222,100.61179619958189
2020-04-30,92.09508085365954,100.47567982162076
2020-05-01,92.46242933970744,100.42621633835634
2020-05-04,91.93195200251527,100.67153418588863
2020-05-05,92.49196089276255,100.89171052792727
2020-05-06,92.61727339699969,101.10609195541653
2020-05-07,93.66384338603612,101.17300072148605
2020-05-08,92.9447173397935,101.10549927955515
2020-05-11,92.62348380311626,101.02109653464841
2020-05-12,92.23593455474511,101.13885652548417
2020-05-13,90.74090749786288,101.38487664699272
2020-05-14,91.06915274528797,101.79005365712793
2020-05-15,91.36225254952251,101.8218272184561
2020-05-18,91.39068486308541,101.90526178310053
2020-05-19,91.17099084519586,102.2951947610498
2020-05-20,89.74220242609054,102.02319579004148
2020-05-21,89.337796151843,102.24230377769969
